,property_type,land_size_bin,yr,count,mean,std,min,25%,50%,75%,max
0,acreage,0,2008,1.0,1100000.0,,1100000.0,1100000.0,1100000.0,1100000.0,1100000.0
1,acreage,0,2009,1.0,1112500.0,,1112500.0,1112500.0,1112500.0,1112500.0,1112500.0
2,acreage,0,2010,1.0,1300000.0,,1300000.0,1300000.0,1300000.0,1300000.0,1300000.0
3,acreage,0,2013,4.0,2937500.0,994463.8421447676,1750000.0,2312500.0,3050000.0,3675000.0,3900000.0
4,acreage,0,2014,2.0,1800000.0,141421.35623730952,1700000.0,1750000.0,1800000.0,1850000.0,1900000.0
5,acreage,0,2015,4.0,2596250.0,629462.4029016084,1975000.0,2106250.0,2575000.0,3065000.0,3260000.0
6,acreage,0,2016,3.0,5000000.0,926012.9588726067,4100000.0,4525000.0,4950000.0,5450000.0,5950000.0
7,acreage,0,2017,4.0,4500000.0,2526196.0863453704,2350000.0,2837500.0,3825000.0,5487500.0,8000000.0
8,acreage,0,2018,2.0,4975000.0,1096015.5108391487,4200000.0,4587500.0,4975000.0,5362500.0,5750000.0
9,acreage,0,2019,2.0,3352500.0,236880.77169749342,3185000.0,3268750.0,3352500.0,3436250.0,3520000.0
10,acreage,0,2020,3.0,4513333.333333333,4757860.163280688,1110000.0,1795000.0,2480000.0,6215000.0,9950000.0
11,acreage,0,2021,6.0,5900000.0,5921570.737566174,2150000.0,3537500.0,3900000.0,4075000.0,17900000.0
12,acreage,200,2016,1.0,430000.0,,430000.0,430000.0,430000.0,430000.0,430000.0
13,acreage,200,2021,1.0,782000.0,,782000.0,782000.0,782000.0,782000.0,782000.0
14,acreage,400,2016,1.0,495000.0,,495000.0,495000.0,495000.0,495000.0,495000.0
15,acreage,600,2022,0.0,,,,,,,
16,acreage,800,2013,1.0,515000.0,,515000.0,515000.0,515000.0,515000.0,515000.0
17,duplex-semi-detached,0,2008,1.0,570000.0,,570000.0,570000.0,570000.0,570000.0,570000.0
18,duplex-semi-detached,0,2009,3.0,557666.6666666666,50013.331556029465,523000.0,529000.0,535000.0,575000.0,615000.0
19,duplex-semi-detached,0,2012,0.0,,,,,,,
20,duplex-semi-detached,0,2013,3.0,1140000.0,108282.03913853857,1025000.0,1090000.0,1155000.0,1197500.0,1240000.0
21,duplex-semi-detached,0,2015,1.0,750000.0,,750000.0,750000.0,750000.0,750000.0,750000.0
