School_code,AgeID,ICSEA_value,Level_of_schooling,Town_suburb,Electorate,School_name,Street,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Healthy canteen,Date_extracted
1001,44402,1109,Primary School,Abbotsford ,Drummoyne,Abbotsford Public School,350 Great North Rd,2046,9713 6220,abbotsford-p.school@det.nsw.edu.au,https://abbotsford-p.schools.nsw.gov.au,9712 1825,509,np,44,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,4/1/1925,Canada Bay (A),Reid,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.852728,151.131206,Sydney,Sydney - Inner West,N,6/10/2022
1002,49333,909,Primary School,Aberdeen,Upper Hunter,Aberdeen Public School,Segenhoe St,2336,6543 7271,aberdeen-p.school@det.nsw.edu.au,https://aberdeen-p.schools.nsw.gov.au,6543 7712,182,21,6,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1864-02-01,Upper Hunter Shire (A),New England,Regional North and West,Upper Hunter,,,,Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.166098,150.888095,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
1003,49299,908,Primary School,Abermain ,Cessnock,Abermain Public School,Goulburn St,2326,4930 4210,abermain-p.school@det.nsw.edu.au,https://abermain-p.schools.nsw.gov.au,4930 4319,273,23,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,8/1/1905,Cessnock (C),Paterson,Regional North,Cessnock,Maitland,4931 3500,"Level 1, 2 Caroline Pl, Maitland 2320",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.80892,151.426499,Hunter/Central Coast,Hunter Valley exc Newcastle,N,6/10/2022
1007,50425,971,Primary School,ADAMINABY,Monaro,Adaminaby Public School,9 Cosgrove Street,2629,6454 2265,adaminaby-p.school@det.nsw.edu.au,https://adaminaby-p.schools.nsw.gov.au,6454 2552,14,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1869-01-01,Snowy Monaro Regional (A),Eden-Monaro,Rural South and West,Eden-Monaro,Queanbeyan,02 6200 5000,"Level 1, City Link Plaza, 24-36 Morisset St, Queanbeyan 2620",Illawarra Shoalhaven & Southern NSW,Southern NSW,Lower South Coast,Outer Regional Australia,-35.993292,148.776721,Southern NSW,Capital Region,N,6/10/2022
1008,49043,1048,Primary School,Adamstown ,Newcastle,Adamstown Public School,Bryant St,2289,4957 1114,adamstown-p.school@det.nsw.edu.au,https://adamstown-p.schools.nsw.gov.au,4956 2446,334,10,14,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1877-07-01,Newcastle (C),Newcastle,Regional North,Glenrock,Gateshead West,4088 3518,"40-44 Coral Cr, Gateshead West 2290",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-32.932213,151.730971,Hunter/Central Coast,Newcastle and Lake Macquarie,N,6/10/2022
1009,50667,951,Primary School,ADELONG,Wagga Wagga,Adelong Public School,ADELONG PUBLIC SCHOOL 50 GILMORE STREET,2729,6946 2053,adelong-p.school@det.nsw.edu.au,https://adelong-p.schools.nsw.gov.au,6946 2199,52,np,0,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1860-03-01,Snowy Valleys (A),Eden-Monaro,Rural South and West,Gundagai,Wagga Wagga,02 6937 3800,"Level 4, 76 Morgan St, Wagga Wagga 2650","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-35.312333,148.062802,Southern NSW,Riverina,N,6/10/2022
1015,50020,971,Primary School,Albion Park ,Kiama,Albion Park Public School,Tongarra & Hamilton Rds,2527,4256 1244,albionpk-p.school@det.nsw.edu.au,https://albionpk-p.schools.nsw.gov.au,4256 4160,476,9,6,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-07-01,Shellharbour (C),Whitlam,Regional South,Lake Illawarra South,Warilla,4267 6100,"30 Oldfield St, Warilla 2528",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.570257,150.77262,Southern NSW,Illawarra,N,6/10/2022
1016,49357,983,Primary School,Timbumburi ,Tamworth,Timbumburi Public School,542 Kia Ora Lane,2340,6767 0232,timbumburi-p.school@det.nsw.edu.au,https://timbumburi-p.schools.nsw.gov.au,6767 0245,147,10,np,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,2/1/1911,Tamworth Regional (A),New England,Rural North,Peel,Tamworth,6755 5000,"Level 3, Noel Park House, 155-157 Marius St, Tamworth 2340",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-31.203781,150.915629,North Western NSW,New England and North West,N,6/10/2022
1017,50441,1044,Primary School,Albury ,Albury,Albury Public School,481 David St,2640,02 6021 3849,albury-p.school@det.nsw.edu.au,https://albury-p.schools.nsw.gov.au,02 6041 1265,608,4,11,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1850-07-01,Albury (C),Farrer,Rural South and West,Albury,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.082454,146.919253,Southern NSW,Murray,N,6/10/2022
1019,50442,872,Primary School,Albury ,Albury,Albury West Public School,Mott St,2640,6021 2288,alburywest-p.school@det.nsw.edu.au,https://alburywest-p.schools.nsw.gov.au,6041 3783,153,25,6,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1/1/1936,Albury (C),Farrer,Rural South and West,Albury,Albury,02 6051 4300,"521 Macauley St, Albury 2640","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Inner Regional Australia,-36.07783,146.895548,Southern NSW,Murray,N,6/10/2022
